Weight,Height,BodyTypeID,Preferred Foot,Weak Foot,Body Type
79.816,188.976,160,Left,3,Normal
63.9435,176.784,161,Right,4,Lean
81.1765,155.7528,162,Right,3,Normal
62.1295,173.736,163,Left,2,Lean
71.1995,155.448,164,Right,3,Lean
97.049,198.12,165,Right,4,Stocky
79.816,192.024,166,Left,4,Normal
74.8275,155.7528,167,Right,4,Normal
79.816,195.072,168,Left,3,Lean
78.909,188.976,169,Right,4,Lean
72.1065,179.832,170,Right,4,Lean
64.8505,155.7528,171,Left,2,Lean
69.839,176.784,172,Right,4,Normal
73.0135,155.7528,173,Right,4,Lean
77.095,155.7528,174,Left,4,Lean
86.165,192.024,175,Right,3,Normal
78.002,179.832,176,Right,4,Normal
84.8045,185.928,177,Right,4,Lean
74.8275,155.448,178,Right,4,Lean
74.8275,179.832,179,Right,4,Normal
77.095,185.928,180,Left,4,Normal
78.909,188.976,181,Right,3,Lean
69.839,188.976,182,Right,4,Lean
69.839,179.832,183,Left,3,Lean
77.095,188.976,184,Right,5,Lean
69.839,179.832,185,Right,4,Normal
69.839,179.832,186,Right,3,Normal
82.9905,188.976,187,Right,3,Normal
76.188,155.7528,188,Right,4,Normal
89.793,195.072,189,Left,3,Normal
73.9205,179.832,190,Right,3,Normal
87.979,195.072,191,Left,3,Normal
68.025,155.448,192,Right,3,Normal
77.095,182.88,193,Left,3,Lean
72.1065,155.448,194,Right,4,Lean
67.118,155.448,195,Right,4,Lean
83.8975,192.024,196,Right,2,Lean
82.0835,188.976,197,Right,1,Normal
66.211,179.832,198,Right,3,Lean
74.8275,155.448,199,Right,5,Normal
87.072,188.976,200,Left,3,Lean
83.8975,192.024,201,Right,2,Normal
79.816,192.024,202,Right,2,Normal
79.816,185.928,203,Left,3,Normal
88.886,198.12,204,Right,3,Lean
66.211,155.448,205,Right,3,Lean
87.979,188.976,206,Right,4,Normal
78.002,188.976,207,Left,3,Lean
68.025,176.784,208,Right,3,Stocky
86.165,188.976,209,Right,3,Normal
97.956,201.168,210,Right,1,Normal
63.0365,173.736,211,Left,3,Lean
92.0605,192.024,212,Left,2,Normal
83.8975,192.024,213,Left,2,Normal
78.909,182.88,214,Right,4,Normal
86.165,195.072,215,Right,3,Normal
81.1765,185.928,216,Right,3,Lean
78.002,155.448,217,Right,3,Normal
82.0835,185.928,218,Right,3,Normal
77.095,155.448,219,Right,3,Normal
82.0835,185.928,220,Left,2,Normal
72.1065,173.736,221,Right,4,Normal
82.0835,192.024,222,Right,4,Normal
82.9905,182.88,223,Right,4,Normal
92.0605,188.976,224,Right,3,Normal
81.1765,198.12,225,Right,3,Lean
88.886,188.976,226,Right,4,Normal
82.0835,192.024,227,Right,3,Lean
73.0135,173.736,228,Right,3,Normal
89.793,198.12,229,Right,3,Normal
69.839,179.832,230,Right,4,Lean
82.0835,155.7528,231,Right,3,Normal
84.8045,192.024,232,Right,2,Normal
72.1065,176.784,233,Right,3,Lean
68.025,155.448,234,Right,3,Normal
63.9435,170.688,235,Right,3,Normal
73.9205,176.784,236,Left,4,Normal
77.095,188.976,237,Left,3,Lean
76.188,182.88,238,Left,3,Normal
81.1765,185.928,239,Left,4,Lean
73.0135,155.448,240,Right,4,Normal
63.9435,155.448,241,Left,2,Lean
79.816,155.7528,242,Right,3,Stocky
77.095,185.928,243,Left,3,Lean
83.8975,185.928,244,Right,4,Lean
83.8975,192.024,245,Right,3,Lean
67.118,182.88,246,Left,2,Lean
73.9205,182.88,247,Right,3,Lean
78.002,188.976,248,Left,3,Normal
77.095,185.928,249,Right,3,Lean
63.9435,173.736,250,Left,4,Lean
73.9205,155.448,251,Right,3,Lean
72.1065,155.7528,252,Right,5,Normal
73.9205,155.448,253,Right,4,Normal
62.1295,179.832,254,Right,3,Lean
82.0835,185.928,255,Left,3,Normal
63.0365,176.784,256,Right,4,Lean
84.8045,192.024,257,Right,3,Lean
67.118,176.784,258,Right,3,Lean
99.77,195.072,259,Right,3,Stocky
89.793,192.024,260,Right,4,Normal
84.8045,198.12,261,Right,3,Lean
79.816,188.976,262,Left,2,Lean
71.1995,179.832,263,Left,4,Normal
78.909,188.976,264,Right,2,Lean
84.8045,188.976,265,Right,4,Normal
82.9905,185.928,266,Right,3,Normal
68.025,173.736,267,Right,5,Normal
73.0135,182.88,268,Right,4,Normal
69.839,179.832,269,Left,4,Normal
66.211,155.7528,270,Right,3,Lean
73.9205,182.88,271,Right,3,Lean
63.9435,173.736,272,Right,4,Normal
73.0135,182.88,273,Right,3,Lean
92.0605,198.12,274,Right,3,Normal
92.9675,188.976,275,Right,4,Normal
79.816,188.976,276,Right,3,Lean
78.002,185.928,277,Left,2,Normal
78.909,182.88,278,Left,4,Normal
86.165,201.168,279,Left,2,Normal
74.8275,179.832,280,Right,4,Normal
82.0835,182.88,281,Right,3,Normal
78.002,188.976,282,Right,4,Lean
64.8505,173.736,283,Right,5,Lean
74.8275,155.7528,284,Right,3,Lean
84.8045,188.976,285,Right,2,Normal
63.9435,176.784,286,Right,3,Lean
74.8275,198.12,287,Right,3,Lean
68.932,179.832,288,Left,4,Normal
76.188,182.88,289,Right,3,Lean
72.1065,155.448,290,Right,4,Normal
82.9905,188.976,291,Left,3,Normal
82.0835,185.928,292,Right,5,Normal
60.769,164.592,293,Right,4,Normal
82.9905,195.072,294,Right,4,Normal
66.211,176.784,295,Left,2,Lean
79.816,182.88,296,Right,3,Normal
76.188,155.7528,297,Left,4,Normal
74.8275,182.88,298,Right,4,Lean
79.816,182.88,299,Right,3,Normal
89.793,192.024,300,Right,3,Normal
83.8975,195.072,301,Right,3,Normal
68.932,179.832,302,Right,3,Lean
84.8045,198.12,303,Right,2,Normal
92.0605,195.072,304,Left,3,Normal
77.095,188.976,305,Left,3,Lean
67.118,173.736,306,Left,2,Lean
89.793,188.976,307,Right,3,Normal
87.072,195.072,308,Right,2,Normal
79.816,195.072,309,Right,2,Normal
89.793,198.12,310,Left,2,Stocky
74.8275,185.928,311,Right,3,Lean
82.0835,188.976,312,Right,3,Lean
63.0365,155.448,313,Right,4,Normal
68.025,176.784,314,Right,3,Normal
68.932,179.832,315,Right,5,Normal
78.002,182.88,316,Right,3,Normal
89.793,198.12,317,Left,3,Normal
83.8975,185.928,318,Left,2,Normal
69.839,185.928,319,Right,4,Lean
63.0365,173.736,320,Left,5,Lean
78.909,155.448,321,Left,4,Normal
84.8045,188.976,322,Right,3,Normal
69.839,155.7528,323,Right,3,Lean
67.118,155.448,324,Right,3,Lean
67.118,155.448,325,Right,3,Normal
69.839,188.976,326,Left,4,Lean
77.095,185.928,327,Right,3,Normal
69.839,155.448,328,Right,3,Normal
69.839,179.832,329,Right,4,Lean
69.839,155.7528,330,Right,4,Lean
73.0135,173.736,331,Right,4,Normal
67.118,173.736,332,Left,4,Normal
68.025,155.7528,333,Right,4,Lean
78.909,185.928,334,Right,3,Lean
68.025,173.736,335,Right,4,Lean
81.1765,188.976,336,Right,3,Lean
73.0135,155.448,337,Right,4,Normal
78.002,195.072,338,Right,2,Lean
69.839,182.88,339,Right,3,Normal
74.8275,155.7528,340,Right,5,Lean
69.839,179.832,341,Right,4,Lean
68.932,173.736,342,Left,2,Normal
71.1995,173.736,343,Left,3,Normal
76.188,182.88,344,Right,3,Lean
68.932,173.736,345,Right,4,Normal
77.095,155.7528,346,Right,2,Normal
78.909,155.7528,347,Right,3,Stocky
76.188,182.88,348,Left,3,Lean
82.9905,188.976,349,Left,2,Normal
78.002,185.928,350,Left,3,Lean
77.095,155.448,351,Right,4,Normal
84.8045,185.928,352,Left,3,Normal
76.188,192.024,353,Right,3,Lean
76.188,155.7528,354,Right,3,Lean
68.932,179.832,355,Right,3,Lean
81.1765,182.88,356,Right,3,Normal
83.8975,185.928,357,Left,3,Normal
79.816,182.88,358,Left,4,Normal
78.002,185.928,359,Left,3,Normal
78.909,192.024,360,Left,3,Lean
84.8045,155.448,361,Left,3,Stocky
72.1065,179.832,362,Right,4,Normal
78.909,185.928,363,Right,4,Normal
82.0835,185.928,364,Left,2,Normal
76.188,155.7528,365,Left,2,Normal
69.839,173.736,366,Right,4,Lean
60.769,173.736,367,Left,5,Lean
83.8975,188.976,368,Right,4,Normal
64.8505,173.736,369,Right,4,Stocky
72.1065,173.736,370,Left,4,Shaqiri
62.1295,176.784,371,Right,5,Normal
93.8745,198.12,372,Right,3,Normal
84.8045,195.072,373,Right,3,Normal
69.839,182.88,374,Right,4,Lean
77.095,176.784,375,Right,4,Stocky
72.1065,155.448,376,Right,3,Lean
81.1765,195.072,377,Right,3,Lean
84.8045,155.7528,378,Left,3,Stocky
68.025,179.832,379,Right,4,Lean
58.955,170.688,380,Right,3,Lean
79.816,188.976,381,Right,4,Lean
79.816,155.7528,382,Right,4,Normal
82.9905,185.928,383,Right,4,Normal
69.839,155.448,384,Right,4,Lean
73.9205,192.024,385,Right,2,Normal
77.095,188.976,386,Right,3,Normal
83.8975,188.976,387,Right,3,Normal
79.816,185.928,388,Right,4,Lean
63.0365,170.688,389,Right,3,Normal
73.0135,182.88,390,Right,3,Normal
86.165,185.928,391,Right,4,Normal
78.909,182.88,392,Right,4,Normal
69.839,155.7528,393,Right,4,Normal
73.9205,155.7528,394,Right,3,Lean
79.816,182.88,395,Left,2,Lean
76.188,179.832,396,Left,3,Normal
77.095,155.448,397,Left,2,Normal
86.165,185.928,398,Right,4,Normal
82.9905,155.7528,399,Right,2,Stocky
82.9905,192.024,400,Right,2,Normal
60.769,173.736,401,Right,4,Normal
73.0135,179.832,402,Right,4,Normal
78.909,155.7528,403,Right,4,Normal
77.095,182.88,404,Right,3,Normal
74.8275,179.832,405,Right,4,Normal
72.1065,182.88,406,Right,4,Normal
68.932,179.832,407,Right,4,Lean
68.025,155.448,408,Right,5,Lean
69.839,179.832,409,Right,4,Stocky
83.8975,188.976,410,Left,2,Normal
74.8275,155.448,411,Right,3,Normal
83.8975,185.928,412,Right,3,Stocky
82.9905,188.976,413,Left,5,Lean
76.188,155.7528,414,Right,3,Normal
69.839,179.832,415,Right,4,Lean
76.188,155.7528,416,Right,4,Lean
66.211,179.832,417,Right,3,Lean
63.0365,179.832,418,Left,2,Lean
68.932,155.448,419,Left,4,Lean
74.8275,155.448,420,Right,4,Stocky
78.002,155.7528,421,Left,3,Lean
84.8045,188.976,422,Right,3,Normal
82.9905,185.928,423,Right,3,Stocky
76.188,185.928,424,Right,3,Lean
73.9205,182.88,425,Right,4,Lean
92.9675,188.976,426,Right,3,Stocky
69.839,179.832,427,Left,3,Normal
68.932,176.784,428,Left,3,Stocky
79.816,155.7528,429,Right,3,Normal
76.188,155.7528,430,Right,4,Normal
81.1765,188.976,431,Left,3,Normal
79.816,188.976,432,Right,3,Normal
81.1765,188.976,433,Right,3,Lean
84.8045,188.976,434,Right,3,Lean
